fold,accuracy,precision,recall,f1,auc
1,0.92,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.974002849002849
2,0.9054054054054054,0.9142857142857143,0.8888888888888888,0.9014084507042254,0.9758771929824561
3,0.9594594594594594,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9926900584795322
4,0.918918918918919,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9766081871345029
5,0.9054054054054054,0.9393939393939394,0.8611111111111112,0.8985507246376812,0.971125730994152
